Country,Agricultural Land( %),Land Area(Km2),Co2-Emissions,CPI,Currency-Code,GDP,Gross tertiary education enrollment (%),Maternal mortality ratio,Minimum wage,Official language,Population,Unemployment rate,Urban_population
Mauritius,0.424,2040,4349,129.91,MUR,14180444557,0.406,61,0.38,French,1265711,0.0667,515980
Mexico,0.546,1964375,486406,141.54,MXN,1.26E+12,0.402,33,0.49,None,126014024,0.0342,102626859
Federated States of Micronesia,0.314,702,143,112.1,USD,401932279,0.141,88,,English,113815,,25963
Moldova,0.742,33851,5115,166.2,MDL,11955435457,0.398,19,0.31,Romanian,2657637,0.0547,1135502
Monaco,,2,,,EUR,7184844193,,,11.72,French,38964,,38964
Mongolia,0.715,1564116,25368,195.76,MNT,13852850259,0.656,45,0.65,Mongolian,3225167,0.0601,2210626
Montenegro,0.19,13812,2017,116.32,EUR,5494736901,0.561,6,1.23,Montenegrin language,622137,0.1488,417765
Morocco,0.685,446550,61276,111.07,MAD,1.19E+11,0.359,70,1.6,Arabic,36910560,0.0902,22975026
Mozambique,0.635,799380,7943,182.31,MZN,14934159926,0.073,289,0.27,Portuguese,30366036,0.0324,11092106
Myanmar,0.195,676578,25280,168.18,MMK,76085852617,0.188,250,0.39,Burmese,54045420,0.0158,16674093
Namibia,0.471,824292,4228,157.97,,12366527719,0.229,195,,English,2494530,0.2027,1273258
Nauru,,21,,,AUD,133000000,,,,English,10084,,
Nepal,0.287,147181,9105,188.73,NPR,30641380604,0.124,186,0.36,Nepali,28608710,0.0141,5765513
Netherlands,0.533,41543,170780,115.91,,9.09E+11,0.85,5,10.29,Dutch,17332850,0.032,15924729
New Zealand,0.405,268838,34382,114.24,NZD,2.07E+11,0.82,9,11.49,English,4841000,0.0407,4258860
Nicaragua,0.421,130370,5592,162.74,NIO,12520915291,0.174,98,0.54,Spanish,6545502,0.0684,3846137
Niger,0.361,1267000,2017,109.32,XOF,12928145120,0.044,509,0.29,French,23310715,0.0047,3850231
Nigeria,0.777,923768,120369,267.51,NGN,4.48E+11,0.102,917,0.54,English,200963599,0.081,102806948
North Korea,0.218,120538,28284,,KPW,32100000000,0.27,89,,Korean,25666161,0.0274,15947412
North Macedonia,,25713,,,MKD,10220781069,,,,Macedonian,1836713,,
Norway,0.027,323802,41023,120.27,NOK,4.03E+11,0.82,2,,Norwegian,5347896,0.0335,4418218
Oman,0.046,309500,63457,113.53,OMR,76983094928,0.38,19,4.33,Arabic,5266535,0.0267,4250777
Pakistan,0.478,796095,201150,182.32,PKR,3.04E+11,0.09,140,0.69,Urdu,216565318,0.0445,79927762
Palau,0.109,459,224,118.17,USD,283994900,0.547,,3,English,18233,,14491
Palestinian National Authority,,,,,,,,,,Arabic,,,
Panama,0.304,75420,10715,122.07,,66800800000,0.478,52,1.53,Spanish,4246439,0.039,2890084
Papua New Guinea,0.026,462840,7536,155.99,PGK,24969611435,0.018,145,1.16,Tok Pisin,8776109,0.0246,1162834
Paraguay,0.551,406752,7407,143.82,PYG,38145288940,0.346,129,1.55,Spanish,7044636,0.0481,4359150
Peru,0.185,1285216,57414,129.78,PEN,2.27E+11,0.707,88,1.28,Spanish,32510453,0.0331,25390339
Philippines,0.417,300000,122287,129.61,PHP,3.77E+11,0.355,121,1.12,English,108116615,0.0215,50975903
Poland,0.469,312685,299037,114.11,PLN,5.92E+11,0.678,2,2.93,Polish,37970874,0.0347,22796574
Portugal,0.395,92212,48742,110.62,EUR,2.38E+11,0.639,8,3.78,Portuguese,10269417,0.0633,6753579
Qatar,0.058,11586,103259,115.38,QAR,1.83E+11,0.179,9,,Arabic,2832067,0.0009,2809071
Romania,0.588,238391,69259,123.78,RON,2.50E+11,0.494,19,2.25,Romanian,19356544,0.0398,10468793
Russia,0.133,17098240,1732027,180.75,RUB,1.70E+12,0.819,17,0.53,Russian,144373535,0.0459,107683889
Rwanda,0.734,26338,1115,151.09,RWF,10122472590,0.067,248,,Swahili,12626950,0.0103,2186104
Saint Kitts and Nevis,0.231,261,238,104.57,XCD,1050992593,0.867,,3.33,English,52823,,16269
Saint Lucia,0.174,616,414,110.13,XCD,2122450630,0.141,117,,English,182790,0.2071,34280
Saint Vincent and the Grenadines,0.256,389,220,109.67,XCD,825385185,0.237,68,1.16,English,100455,0.1888,58185
Samoa,0.124,2831,246,117.56,WST,850655017,0.076,43,0.78,Samoan,202506,0.0836,35588
San Marino,0.167,61,,110.63,EUR,1637931034,0.425,,,Italian,33860,,32969
S�����������,0.507,964,121,185.09,STN,429016605,0.134,130,,,215056,0.1337,158277
Saudi Arabia,0.808,2149690,563449,118.4,SAR,7.93E+11,0.68,17,3.85,Arabic,34268528,0.0593,28807838
Senegal,0.461,196722,10902,109.25,XOF,23578084052,0.128,315,0.31,French,16296364,0.066,7765706
Serbia,0.393,77474,45221,144,RSD,51409167351,0.672,12,1.57,Serbian,6944975,0.1269,3907243
Seychelles,0.034,455,605,129.96,SCR,1698843063,0.171,53,2,French,97625,,55762
Sierra Leone,0.547,71740,1093,234.16,SLL,3941474311,0.02,1120,0.57,English,7813215,0.0443,3319366
Singapore,0.009,716,37535,114.41,SGD,3.72E+11,0.848,8,,Malay,5703569,0.0411,5703569
Slovakia,0.392,49035,32424,115.34,EUR,1.05E+11,0.466,5,3.11,Slovak,5454073,0.0556,2930419
Slovenia,0.307,20273,12633,111.05,EUR,53742159517,0.786,7,5.25,Slovene language,2087946,0.042,1144654
Solomon Islands,0.039,28896,169,133.06,SBD,1425074226,,104,0.4,English,669823,0.0058,162164
Somalia,0.703,637657,645,,SOS,4720727278,0.025,829,,Arabic,15442905,0.1135,7034861
South Africa,0.798,1219090,476644,158.93,ZAR,3.51E+11,0.224,119,,Afrikaans,58558270,0.2818,39149717
South Korea,0.174,99720,620302,115.16,KRW,2.03E+12,0.943,11,6.49,Korean,51709098,0.0415,42106719
South Sudan,,644329,1727,4583.71,SSP,11997800751,,1150,,English,11062113,0.1224,2201250
Spain,0.526,505370,244002,110.96,EUR,1.39E+12,0.889,4,5.6,Spanish,47076781,0.1396,37927409
Sri Lanka,0.437,65610,23362,155.53,LKR,84008783756,0.196,36,0.35,Tamil,21803000,0.042,4052088
Sudan,0.287,1861484,20000,1344.19,SDG,18902284476,0.169,295,0.41,Arabic,42813238,0.1653,14957233
Suriname,0.006,163820,1738,294.66,SRD,3985250737,0.126,120,,Dutch,581372,0.0733,384258
Sweden,0.074,450295,43252,110.51,SEK,5.31E+11,0.67,4,,Swedish,10285453,0.0648,9021165
Switzerland,0.384,41277,34477,99.55,CHF,7.03E+11,0.596,5,,German,8574832,0.0458,6332428
Syria,0.758,185180,28830,143.2,SYP,40405006007,0.401,31,1.02,Arabic,17070135,0.0837,9358019
Tajikistan,0.341,144100,5310,148.57,TJS,8116626794,0.313,17,0.23,Persian,9321018,0.1102,2545477
Tanzania,0.448,947300,11973,187.43,TZS,63177068175,0.04,524,0.09,Swahili,58005463,0.0198,20011885
Thailand,0.433,513120,283763,113.27,THB,5.44E+11,0.493,37,1.06,Thai,69625582,0.0075,35294600
East Timor,0.256,14874,495,145.38,USD,1673540300,0.178,142,0.6,Portuguese,3500000,0.0455,400182
Togo,0.702,56785,3000,113.3,XOF,5459979417,0.145,396,0.34,French,8082366,0.0204,3414638
Tonga,0.458,747,128,121.09,TOP,450353314,0.064,52,,Tongan Language,100209,0.0112,24145
Trinidad and Tobago,0.105,5128,43868,141.75,TTD,24100202834,0.12,67,2.25,English,1394973,0.0269,741944
Tunisia,0.648,163610,29937,155.33,TND,38797709924,0.317,43,0.47,Arabic,11694719,0.1602,8099061
Turkey,0.498,783562,372725,234.44,TRY,7.54E+11,0.239,17,3.45,Turkish,83429615,0.1349,63097818
Turkmenistan,0.72,488100,70630,,TMT,40761142857,0.08,7,0.88,Turkmen,5942089,0.0391,3092738
Tuvalu,0.6,26,11,,AUD,47271463,,,,Tuvaluan Language,11646,,7362
Uganda,0.719,241038,5680,173.87,UGX,34387229486,0.048,375,0.01,Swahili,44269594,0.0184,10784516
Ukraine,0.717,603550,202250,281.66,UAH,1.54E+11,0.827,19,0.84,Ukrainian,44385155,0.0888,30835699
United Arab Emirates,0.055,83600,206324,114.52,AED,4.21E+11,0.368,3,,Arabic,9770529,0.0235,8479744
United Kingdom,0.717,243610,379025,119.62,GBP,2.83E+12,0.6,7,10.13,English,66834405,0.0385,55908316
United States,0.444,9833517,5006302,117.24,USD,2.14E+13,0.882,19,7.25,None,328239523,0.147,270663028
Uruguay,0.826,176215,6766,202.92,UYU,56045912952,0.631,17,1.66,Spanish,3461734,0.0873,3303394
Uzbekistan,0.629,447400,91811,,UZS,57921286440,0.101,29,0.24,Uzbek,33580650,0.0592,16935729
Vanuatu,0.153,12189,147,117.13,VUV,917058851,0.047,72,1.56,French,299882,0.0439,76152
Venezuela,0.245,912050,164175,2740.27,VED,4.82E+11,0.793,125,0.01,Spanish,28515829,0.088,25162368
Vietnam,0.393,331210,192668,163.52,VND,2.62E+11,0.285,43,0.73,Vietnamese,96462106,0.0201,35332140
Yemen,0.446,527968,10609,157.58,YER,26914402224,0.102,164,,Arabic,29161922,0.1291,10869523
Zambia,0.321,752618,5141,212.31,ZMW,23064722446,0.041,213,0.24,English,17861030,0.1143,7871713
Zimbabwe,0.419,390757,10983,105.51,,21440758800,0.1,458,,Shona,14645468,0.0495,4717305
